last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Lange, Alex,R,93.8,,,96.9,,59.6,
Coonrod, Sam,R,93.7,91.4,,93.9,,34.6,
Rainey, Tanner,R,93.7,,,,,21.4,
Stripling, Ross,R,93.7,,,91.3,,41,75.7
Smith, Joe,R,93.7,95.8,,97.4,,56.7,
Gonsolin, Tony,R,93.7,,,,,27.2,69.1
Smith, Will,L,93.6,,,,,22.8,57.7
Espino, Paolo,R,93.6,,,92.2,,60.8,98.4
Mayers, Mike,R,93.5,,64,,,19.5,
Cueto, Johnny,R,93.5,93.3,,79.8,,33,20.5
Lugo, Seth,R,93.5,92,,95.1,,40.3,84.6
Bauer, Trevor,R,93.5,91.7,26.5,91.5,,60.2,93.9
Snell, Blake,L,93.5,,,97.5,,26.7,79.8
Hill, Rich,L,93.3,88.1,47.1,95.5,,33.7,94.8
Ruiz, José,R,93.3,,,88.8,,49.4,48.5
Hernández, Carlos,R,93.2,93.9,,93.4,,26.3,65.9
Shoemaker, Matt,R,93.2,92.1,,,,17.8,43.6
Tapia, Domingo,R,93.1,92.6,,97.9,,35.1,
Misiewicz, Anthony,L,93,,36.4,,,,61.7
Ray, Robbie,L,93,,,96.7,,41.9,13.4
Watson, Tony,L,92.9,95,,99.2,,16.9,
Ponce, Cody,R,92.9,,49.9,99.5,,28.1,79.4
Hembree, Heath,R,92.9,,,,,31.9,
Brubaker, JT,R,92.8,90,,89.8,,19.3,59.4
Kimbrel, Craig,R,92.8,,,,,,62.4
Allen, Logan,L,92.7,93.9,,97.3,,39.7,74.3
Keller, Kyle,R,92.7,,,,,,57.5
Houser, Adrian,R,92.5,89.8,,87.8,,34.8,94.6
Abreu, Bryan,R,92.5,,,,,32.5,68.1
Chavez, Jesse,R,92.4,93.2,64,97.1,,37.5,
Mize, Casey,R,92.3,93.1,,,,28.6,81.3
Rodríguez, Joely,L,92.3,91,,96.5,,31.8,
Ginkel, Kevin,R,92.2,,,,,29.7,
Romano, Jordan,R,92.2,96.3,,,,23.6,
Alzolay, Adbert,R,92.1,93.1,50,93.2,,37.8,36.7
Lyles, Jordan,R,92.1,84.5,28.7,98.4,,37.7,80
Clarke, Taylor,R,92.1,,,93,,28.7,72.8
Wittgren, Nick,R,92,,36.6,81,,31.2,
Berríos, José,R,92,96.2,,95.4,,,52.5
Okert, Steven,L,92,91.2,,,,41.3,
Sale, Chris,L,92,93.9,,99.3,,61.8,
Flexen, Chris,R,92,,53.9,98.5,,,72
Morton, Charlie,R,91.9,94.3,23.1,99.3,,,79
Price, David,L,91.9,92.7,57.6,99.1,,,59.9
Curtiss, John,R,91.8,,,,,22.6,
Underwood Jr., Duane,R,91.7,85.3,47.4,92.3,,,72.5
Gutierrez, Vladimir,R,91.7,,,97.4,,31.1,72.5
Cahill, Trevor,R,91.5,87.5,27.8,87.7,,,67.2
Santana, Dennis,R,91.5,91.2,,90,,26.8,
Gilbert, Tyler,L,91.5,92.3,51.5,,,,75.5
Martin, Chris,R,91.4,86.9,45.5,84.9,,64.7,
Brach, Brad,R,91.4,92.8,,79.1,,34,
Garrett, Amir,L,91.4,,,,,19.3,
Hernandez, Elieser,R,91.3,91.5,,91.7,,47.4,
Lynch, Daniel,L,91.2,90.2,,99.5,,12.5,44.4
Manning, Matt,R,91.2,91.5,,96,,42,79.2
Bubic, Kris,L,91.1,,,96.5,,,82.7
Smith, Burch,R,91.1,,,97,,34.4,85.9
Garrett, Braxton,L,91.1,81.4,,95.1,,37.1,78.3
Minaya, Juan,R,91,,,84.4,,19.9,
Iglesias, Raisel,R,91,90.9,,88.4,,30.7,
Funkhouser, Kyle,R,90.8,85.5,,92.7,,26.8,
Castillo, Diego,R,90.7,89,,,,15.4,
Scherzer, Max,R,90.7,,49.4,98.4,,25.4,67.3
Alcantara, Sandy,R,90.6,90.6,,87.9,,18.4,37.7
Thielbar, Caleb,L,90.6,,,,,37.9,94.7
Happ, J.A.,L,90.6,82.7,,96.1,,25.7,42.4
Boxberger, Brad,R,90.5,,,90,,48.3,
Kaprielian, James,R,90.5,89.5,,57.8,,25.9,59.4
Claudio, Alex,L,90.4,90.1,,97.1,,32.9,
Smith, Drew,R,90.4,,36.2,99.3,,,74.3
Suarez, José,L,90.3,88.3,,81.6,,,51
Alexander, Tyler,L,90.3,93,45.9,94,,28.4,
Rasmussen, Drew,R,90.3,,,95.9,,27.1,69.5
Montas, Frankie,R,90.3,89.2,,,,34.3,
Trivino, Lou,R,90.3,90.1,62.7,99.2,,,81.6
Sims, Lucas,R,90.2,,,,,35.5,54.6
Ashby, Aaron,L,90.2,89.3,,82.2,,38,82.7
Jiménez, Joe,R,90.1,,,87.2,,25.8,
Parker, Blake,R,90,,68.8,,,,67.5
Cease, Dylan,R,90,,,86.6,,38.6,90.2
Lamet, Dinelson,R,90,90.8,,88.7,,19.3,
Ureña, José,R,90,86.2,,95.4,,28.2,
Green, Chad,R,90,,,,,,42.6
Hearn, Taylor,L,90,87.9,,84.4,,36.4,
Burr, Ryan,R,90,,30.2,,,75.1,
Floro, Dylan,R,89.9,92.1,,94.3,,39.5,
Petit, Yusmeiro,R,89.7,,80.4,94,,,51.5
Reyes, Alex,R,89.7,88.3,,97.8,,33.4,96.4
Tomlin, Josh,R,89.6,,52.9,97.7,,,46.6
Cisnero, José,R,89.6,92.6,,96.5,,30.4,
Cessa, Luis,R,89.6,87.1,,80.3,,28.7,
Middleton, Keynan,R,89.6,,,77.6,,21.1,
Boyd, Matthew,L,89.5,88.9,,87.4,,31.5,93.6
McGowin, Kyle,R,89.5,89.2,,,,44.7,
Quintana, José,L,89.4,90.6,,94.2,,,59.5
May, Trevor,R,89.3,,,95,,38.3,
Watkins, Spenser,R,89.3,,53.1,90.3,,,54.7
Graterol, Brusdar,R,89.1,86.5,46.1,,,33.2,
Kinley, Tyler,R,89.1,,,98.8,,33,
De Jong, Chase,R,89,,,98.4,,24.3,76.5
Martin, Brett,L,88.9,86.5,,,,40,42.5
Soto, Gregory,L,88.9,90.8,,,,32.9,
Eflin, Zach,R,88.8,85.9,,98.1,,47.8,63.4
Garcia, Luis,R,88.7,,38,99.1,,56.6,80.7
Guerra, Junior,R,88.6,88.6,,,,36.7,51.2
Hentges, Sam,L,88.6,80.8,,,,18.4,83.9
Hand, Brad,L,88.5,90.6,,,,62.7,
Pagán, Emilio,R,88.5,,29.3,99.2,,,
Bundy, Dylan,R,88.5,90.8,,89.5,,33.7,79.7
Chapman, Aroldis,L,88.4,87.8,,,,45.7,
Minter, A.J.,L,88.4,,28.8,90,,,
Pineda, Michael,R,88.3,,,94.1,,11.9,
King, Michael,R,88.2,85.2,,99.3,,36.4,59.6
Graveman, Kendall,R,88.2,92.4,,91.2,,32.5,68.3
Soria, Joakim,R,88.1,,,78.4,,73,98.4
Voth, Austin,R,88.1,,49.4,,,,74.9
Wheeler, Zack,R,88,91,,97.2,,37,67.6
Holloway, Jordan,R,88,86.5,,96.3,,31.1,72.9
Montgomery, Jordan,L,88,89.3,46.2,99.3,,,43.2
Matzek, Tyler,L,88,,,,,50.6,72.9
Young, Alex,L,87.9,81,40.1,85.4,,,17.8
Mills, Alec,R,87.9,87.5,,85.8,,57.9,78.9
McHugh, Collin,R,87.8,,36.1,,,58.9,81.1
Holland, Greg,R,87.7,,,,,38.3,59.3
Rogers, Trevor,L,87.7,,,91.2,,19.8,
Stephan, Trevor,R,87.7,,,,,43.7,
Woodruff, Brandon,R,87.6,88.8,,89,,27.9,63
Wilson, Bryse,R,87.6,88.2,,96.7,,33.5,71.9
Maeda, Kenta,R,87.3,80.2,,,,20.5,74.2
Loáisiga, Jonathan,R,87.3,88.6,,96.3,,27,38
Darvish, Yu,R,87.3,90.3,30.6,,,51.8,81.8
Yang, Hyeon-Jong,L,87.2,,,89.5,,30.5,81.6
Mantiply, Joe,L,87.1,90.6,,99.6,,,42.2
Castillo, Luis,R,87.1,88.7,,86.9,,13.9,
Brentz, Jake,L,87.1,91.2,,94.7,,31,
Ober, Bailey,R,87.1,,,99.3,,44,83.3
Patiño, Luis,R,87,76.8,,95.7,,40,55.7
Winkler, Dan,R,86.9,81,58.5,,,,50.4
Corbin, Patrick,L,86.9,86.3,,97.1,,21.9,28.7
Chargois, JT,R,86.9,94.1,,,,19.8,
Barnes, Jacob,R,86.8,,44.9,89.1,,,
Barría, Jaime,R,86.7,88.2,,99.1,,34.9,
Montero, Rafael,R,86.7,83.7,,88.6,,31.1,
Buehler, Walker,R,86.5,83.3,46.2,93,,51.7,85.9
Treinen, Blake,R,86.5,90.3,39.6,,,39.5,
Bumgarner, Madison,L,86.3,88.6,45.8,96.9,,,64.7
Hendrix, Ryan,R,86.3,,,,,25.3,
Gibson, Kyle,R,86.3,83.3,51.8,85.2,,33.3,56.7
Bickford, Phil,R,86.2,,,,,43.8,
Sandoval, Patrick,L,86.2,86.5,,98.8,,33.2,65.6
Peralta, Freddy,R,86.1,87.4,,93.3,,51,65.8
Woodford, Jake,R,85.9,84.4,,97.4,,42.3,97.1
Miley, Wade,L,85.8,86.9,46.1,86.2,,31.1,66.1
Garza, Justin,R,85.8,92,46.5,93.9,,34.1,
Blackburn, Paul,R,85.8,85.9,44,79.6,,,82.1
Márquez, Germán,R,85.7,84.4,,93.1,,14.4,32.7
Neris, Héctor,R,85.7,88,,,,34.6,
Velasquez, Vince,R,85.7,80.2,,93.4,,34.4,71.2
Thornton, Trent,R,85.5,,47.9,80.3,,35.2,66.2
Keller, Mitch,R,85.5,,,96.5,,25.1,89.8
Ross, Joe,R,85.4,83.6,,92.7,,27.8,
Andriese, Matt,R,85.4,77.9,20,24.2,,,70.8
Zimmer, Kyle,R,85.3,,,90.1,,26.4,88.2
Head, Louis,R,85.3,,,,,60,
Gilbreath, Lucas,L,85.1,,,,,39,
Payamps, Joel,R,85,86.3,,79.9,,41.8,
Suárez, Ranger,L,84.8,84.5,,94.1,,27.6,
Gil, Luis,R,84.8,,,95.1,,37.3,
Martínez, Carlos,R,84.4,82.5,52.4,83.7,,39.3,44.2
Civale, Aaron,R,84.4,82.6,48.1,,,44.1,78.9
Almonte, Yency,R,84.4,86.7,,98.8,,39.5,
Newcomb, Sean,L,84.4,,22.6,,,,91.6
Valdez, César,R,84,85,,71.6,,39,
Diplán, Marcos,R,83.9,,,79.4,,,58.1
Widener, Taylor,R,83.9,,,93.4,,32.7,
Taillon, Jameson,R,83.8,86.5,,95.5,,40.8,74.8
Familia, Jeurys,R,83.8,81.7,,,,25.3,
Bassitt, Chris,R,83.7,88.3,49.8,95.8,,67.5,93.3
Kershaw, Clayton,L,83.6,,,99.2,,46,78.5
Kim, Kwang Hyun,L,83.5,87.7,,92.2,,38.1,66
Rodriguez, Eduardo,L,83.5,85.1,48.1,89.8,,33.9,
Davis, Wade,R,83.5,75.8,38.3,86.8,,,72.3
Crismatt, Nabil,R,83.4,83.1,,79.2,,,99.2
Santana, Ervin,R,83.3,,,88.8,,31.4,
Gallen, Zac,R,83.2,,61,89.3,,42.7,74.2
Thompson, Keegan,R,83.2,,37.4,95.4,,,72.5
Leone, Dominic,R,82.9,74.8,33.7,,,43.7,
Fulmer, Michael,R,82.9,84.2,,86,,47.7,79.3
Norris, Daniel,L,82.7,,,76.7,,23.3,
Sheffield, Justus,L,82.6,80.7,,72.6,,44.7,
Slegers, Aaron,R,82.6,83.6,,75.4,,21.3,
Carrasco, Carlos,R,82.6,80.1,,68.5,,28.7,55.2
Sandlin, Nick,R,82.5,81.1,,,,54.1,
Fairbanks, Pete,R,82.5,,,,,43.5,
Knehr, Reiss,R,82.4,,38.2,99.2,,42.1,
Sewald, Paul,R,82.2,,,,,44.8,
Germán, Domingo,R,82.2,82.7,,85.5,,,27.1
Senzatela, Antonio,R,81.8,83.1,,61.3,,40.8,63.1
Kay, Anthony,L,81.8,,24.4,89.9,,52.6,72
Mikolas, Miles,R,81.7,79.7,,96.2,,26.8,85.2
Muller, Kyle,L,81.6,,,84,,20.4,71
Taylor, Josh,L,81.6,83.3,,,,31,56.8
Chatwood, Tyler,R,81.4,81.3,25.2,81.1,,,65.4
White, Mitch,R,81.2,,,91.8,,25.3,78
Romo, Sergio,R,81.2,85.7,,99.2,,48.6,
Helsley, Ryan,R,81,,34.5,96.1,,,62.6
Crowe, Wil,R,81,77.5,,58.3,,40.9,78.6
Bielak, Brandon,R,80.9,76,45.9,91.8,,35,84.5
Chacín, Jhoulys,R,80.8,80,,87.1,,41.9,47.4
Duffey, Tyler,R,80.7,86.6,,,,,59
Rogers, Tyler,R,80.7,78.6,,,,68.7,
Urías, Julio,L,80.7,80.9,,89.9,,,48.6
Zimmermann, Bruce,L,80.6,,,98.8,,19.8,41.6
Ohtani, Shohei,R,80.5,,35.7,,,57.1,88.2
López, Pablo,R,80.2,83.5,57.2,90.5,,,68.5
Kelly, Merrill,R,80,77.1,66.9,79.1,,,67
Poteet, Cody,R,79.6,,,82.4,,30.6,62.9
Flaherty, Jack,R,79.3,74.4,,75.9,,50.6,85.8
Lynn, Lance,R,79.3,74.5,33,85.3,,,47.5
Keuchel, Dallas,L,78.9,81.7,39.2,90.4,,26.8,
Greinke, Zack,R,78.7,84.4,,84.4,,42.2,76
Miller, Andrew,L,78.4,82.7,,,,65.1,
Webb, Logan,R,78,77.2,50,78.8,,54.8,
Manoah, Alek,R,77.9,78.6,,81.5,,50.2,
Castellanos, Humberto,R,77.4,78.6,,94.6,,53.3,68.7
Barlow, Scott,R,77.2,,,,,45.7,84.3
Singer, Brady,R,77.2,83.9,,97.1,,26,
Raley, Brooks,L,77.1,79.4,40.2,86.3,,52.2,69
Wainwright, Adam,R,77.1,82,46.1,90.1,,,97
Coulombe, Danny,L,77,72.2,,,,26,91.2
Strickland, Hunter,R,77,72.3,,84.8,,47.1,
Armstrong, Shawn,R,76.7,,43.9,,,47.7,
Gray, Sonny,R,76.5,70.2,40.9,85.3,,65.4,88.5
Lester, Jon,L,76.4,73.2,55,71.2,,,66.4
Glasnow, Tyler,R,75.8,,,90.3,,32,76.1
Pressly, Ryan,R,75.8,,,,,28.5,72.9
Fried, Max,L,75.6,74.1,,85.7,,34.5,83.3
Cishek, Steve,R,75.5,82.1,,,,79.4,
Scott, Tanner,L,75.5,80.9,,,,33.3,
Freeland, Kyle,L,75.3,70,,91.2,,29.7,67.4
Junis, Jakob,R,75.2,79.8,43.6,81.2,,38,
Bard, Daniel,R,75.2,77.8,,93.6,,44.7,
Wendelken, J.B.,R,75.1,80.8,,99.4,,44.9,93.8
Kluber, Corey,R,74.8,79.9,36.1,76.6,,,54.3
Thompson, Zach,R,74.8,76.3,29.4,73.6,,,71.6
Toussaint, Touki,R,74.6,72.8,,,,,85.9
Nelson, Jimmy,R,74.4,,,,,51.8,83
Givens, Mychal,R,74.2,,,51.5,,31.6,
Harper, Ryne,R,74.2,,,,,54.3,79.4
Ramirez, Noé,R,74.1,,,71.6,,,66.8
Ottavino, Adam,R,73.9,76.1,30.4,77.3,,71.8,79.7
Taylor, Blake,L,73.1,,,,,45.8,
Bender, Anthony,R,72.8,75.3,,,,59.4,
Oviedo, Johan,R,72.6,,,93.5,,45.1,68.4
Mejía, J.C.,R,71.9,70.6,,71.5,,44.9,85.9
Williams, Trevor,R,71.6,73.1,,89.6,,41,57.6
González, Chi Chi,R,71.1,69.6,31.3,85.7,,28.4,41.6
Stratton, Chris,R,71,,,74.9,,36.3,75.3
Steele, Justin,L,70.9,71.7,,86.6,,54.9,75.8
Hernandez, Darwinzon,L,70.9,,,,,35,75.4
García, Yimi,R,69.7,76.9,,94.3,,30.3,48.9
Cimber, Adam,R,69.7,73.3,,,,21.2,
Keller, Brad,R,69.2,75.7,,82.6,,41.8,
Minor, Mike,L,68.8,,,96.7,,26.6,76.9
Melancon, Mark,R,68.3,,62.7,,,,78.3
Burnes, Corbin,R,67.8,71.4,52.7,77.6,,40.2,67.7
Fry, Paul,L,66.9,,,,,56.7,
Fedde, Erick,R,65.9,75.4,45,88.8,,,64.1
Shaw, Bryan,R,65.3,,43.7,77.6,,52.3,89.7
Suter, Brent,L,65.2,83.5,,97.9,,,44.5
Valdez, Framber,L,63.9,68.6,,75.3,,,85.5
Musgrove, Joe,R,62.9,64.3,40.1,61.6,,56.8,76.5
Maton, Phil,R,62.7,,35.7,,,67.2,92.2
